m,unknowns,carry_bits
23377,104,91
24341,104,91
24823,104,91
25787,104,91
26269,104,91
27233,104,91
30607,104,91
31571,105,91
33017,119,105
33499,119,105
35909,119,105
36391,119,105
37837,119,105
39283,119,105
40247,119,105
41693,119,105
43139,119,105
43621,119,105
46031,119,105
46513,119,105
47477,119,105
47959,119,105
50851,119,105
53743,119,105
54707,119,105
55189,119,105
56153,119,105
57599,119,105
58081,119,105
753,44,36
1255,54,45
1757,54,45
2761,65,55
3263,65,55
4267,77,66
4769,77,66
5773,77,66
7279,77,66
7781,77,66
9287,90,78
10291,90,78
10793,90,78
11797,90,78
13303,90,78
14809,90,78
15311,90,78
16817,104,91
17821,104,91
18323,104,91
19829,104,91
20833,104,91
22339,104,91
24347,104,91
25351,104,91
25853,104,91
26857,104,91
27359,104,91
28363,104,91
31877,104,91
32881,119,105
34387,119,105
34889,119,105
37399,119,105
37901,119,105
39407,119,105
40913,119,105
41917,119,105
43423,119,105
44929,119,105
45431,119,105
47941,119,105
48443,119,105
49447,119,105
49949,119,105
52961,119,105
55973,119,105
56977,119,105
57479,119,105
58483,119,105
59989,119,105
60491,119,105
63001,119,105
771,45,36
1285,55,45
1799,55,45
2827,66,55
3341,66,55
4369,78,66
4883,78,66
5911,78,66
7453,78,66
7967,78,66
9509,91,78
10537,91,78
11051,91,78
12079,91,78
13621,91,78
15163,91,78
15677,91,78
17219,105,91
18247,105,91
18761,105,91
20303,105,91
21331,105,91
22873,105,91
24929,105,91
25957,105,91
26471,105,91
27499,105,91
28013,105,91
29041,105,91
32639,105,91
33667,120,105
35209,120,105
35723,120,105
38293,120,105
38807,120,105
40349,120,105
41891,120,105
42919,120,105
44461,120,105
46003,120,105
46517,120,105
49087,120,105
49601,120,105
50629,120,105
51143,120,105
54227,120,105
57311,120,105
58339,120,105
58853,120,105
59881,120,105
61423,120,105
61937,120,105
64507,120,105
66049,136,120
789,45,36
1315,55,45
1841,55,45
2893,66,55
3419,66,55
4471,78,66
4997,78,66
6049,78,66
7627,78,66
8153,78,66
9731,91,78
10783,91,78
11309,91,78
12361,91,78
13939,91,78
15517,91,78
16043,91,78
17621,105,91
18673,105,91
19199,105,91
20777,105,91
21829,105,91
23407,105,91
25511,105,91
26563,105,91
27089,105,91
28141,105,91
28667,105,91
29719,105,91
33401,119,105
34453,120,105
36031,120,105
36557,120,105
39187,120,105
39713,120,105
41291,120,105
42869,120,105
43921,120,105
45499,120,105
47077,120,105
47603,120,105
50233,120,105
50759,120,105
51811,120,105
52337,120,105
55493,120,105
58649,120,105
59701,120,105
60227,120,105
61279,120,105
62857,120,105
63383,120,105
66013,135,120
67591,136,120
69169,136,120
807,45,36
1345,55,45
1883,55,45
2959,66,55
3497,66,55
4573,78,66
5111,78,66
6187,78,66
7801,78,66
8339,90,78
9953,91,78
11029,91,78
11567,91,78
12643,91,78
14257,91,78
15871,91,78
16409,104,91
18023,105,91
19099,105,91
19637,105,91
21251,105,91
22327,105,91
23941,105,91
26093,105,91
27169,105,91
27707,105,91
28783,105,91
29321,105,91
30397,105,91
34163,119,105
35239,120,105
36853,120,105
37391,120,105
40081,120,105
40619,120,105
42233,120,105
43847,120,105
44923,120,105
46537,120,105
48151,120,105
48689,120,105
51379,120,105
51917,120,105
52993,120,105
53531,120,105
56759,120,105
59987,120,105
61063,120,105
61601,120,105
62677,120,105
64291,120,105
64829,120,105
67519,135,120
69133,136,120
70747,136,120
72361,136,120
813,45,36
1355,55,45
1897,55,45
2981,66,55
3523,66,55
4607,78,66
5149,78,66
6233,78,66
7859,78,66
8401,90,78
10027,91,78
11111,91,78
11653,91,78
12737,91,78
14363,91,78
15989,91,78
16531,104,91
18157,105,91
19241,105,91
19783,105,91
21409,105,91
22493,105,91
24119,105,91
26287,105,91
27371,105,91
27913,105,91
28997,105,91
29539,105,91
30623,105,91
34417,119,105
35501,120,105
37127,120,105
37669,120,105
40379,120,105
40921,120,105
42547,120,105
44173,120,105
45257,120,105
46883,120,105
48509,120,105
49051,120,105
51761,120,105
52303,120,105
53387,120,105
53929,120,105
57181,120,105
60433,120,105
61517,120,105
62059,120,105
63143,120,105
64769,120,105
65311,120,105
68021,135,120
69647,136,120
71273,136,120
72899,136,120
73441,136,120
831,45,36
1385,55,45
1939,55,45
3047,66,55
3601,66,55
4709,78,66
5263,78,66
6371,78,66
8033,78,66
8587,90,78
10249,91,78
11357,91,78
11911,91,78
13019,91,78
14681,91,78
16343,91,78
16897,104,91
18559,105,91
19667,105,91
20221,105,91
21883,105,91
22991,105,91
24653,105,91
26869,105,91
27977,105,91
28531,105,91
29639,105,91
30193,105,91
31301,105,91
35179,119,105
36287,120,105
37949,120,105
38503,120,105
41273,120,105
41827,120,105
43489,120,105
45151,120,105
46259,120,105
47921,120,105
49583,120,105
50137,120,105
52907,120,105
53461,120,105
54569,120,105
55123,120,105
58447,120,105
61771,120,105
62879,120,105
63433,120,105
64541,120,105
66203,135,120
66757,135,120
69527,135,120
71189,136,120
72851,136,120
74513,136,120
75067,136,120
76729,136,120
843,45,36
1405,55,45
1967,55,45
3091,66,55
3653,66,55
4777,78,66
5339,78,66
6463,78,66
8149,78,66
8711,90,78
10397,91,78
11521,91,78
12083,91,78
13207,91,78
14893,91,78
16579,104,91
17141,104,91
18827,105,91
19951,105,91
20513,105,91
22199,105,91
23323,105,91
25009,105,91
27257,105,91
28381,105,91
28943,105,91
30067,105,91
30629,105,91
31753,105,91
35687,119,105
36811,120,105
38497,120,105
39059,120,105
41869,120,105
42431,120,105
44117,120,105
45803,120,105
46927,120,105
48613,120,105
50299,120,105
50861,120,105
53671,120,105
54233,120,105
55357,120,105
55919,120,105
59291,120,105
62663,120,105
63787,120,105
64349,120,105
65473,120,105
67159,135,120
67721,135,120
70531,135,120
72217,136,120
73903,136,120
75589,136,120
76151,136,120
77837,136,120
78961,136,120
849,45,36
1415,55,45
1981,55,45
3113,66,55
3679,66,55
4811,78,66
5377,78,66
6509,78,66
8207,90,78
8773,90,78
10471,91,78
11603,91,78
12169,91,78
13301,91,78
14999,91,78
16697,104,91
17263,104,91
18961,105,91
20093,105,91
20659,105,91
22357,105,91
23489,105,91
25187,105,91
27451,105,91
28583,105,91
29149,105,91
30281,105,91
30847,105,91
31979,105,91
35941,119,105
37073,120,105
38771,120,105
39337,120,105
42167,120,105
42733,120,105
44431,120,105
46129,120,105
47261,120,105
48959,120,105
50657,120,105
51223,120,105
54053,120,105
54619,120,105
55751,120,105
56317,120,105
59713,120,105
63109,120,105
64241,120,105
64807,120,105
65939,135,120
67637,135,120
68203,135,120
71033,135,120
72731,136,120
74429,136,120
76127,136,120
76693,136,120
78391,136,120
79523,136,120
80089,136,120
879,45,36
1465,55,45
2051,65,55
3223,66,55
3809,66,55
4981,78,66
5567,78,66
6739,78,66
8497,90,78
9083,90,78
10841,91,78
12013,91,78
12599,91,78
13771,91,78
15529,91,78
17287,104,91
17873,104,91
19631,105,91
20803,105,91
21389,105,91
23147,105,91
24319,105,91
26077,105,91
28421,105,91
29593,105,91
30179,105,91
31351,105,91
31937,105,91
33109,119,105
37211,119,105
38383,120,105
40141,120,105
40727,120,105
43657,120,105
44243,120,105
46001,120,105
47759,120,105
48931,120,105
50689,120,105
52447,120,105
53033,120,105
55963,120,105
56549,120,105
57721,120,105
58307,120,105
61823,120,105
65339,120,105
66511,135,120
67097,135,120
68269,135,120
70027,135,120
70613,135,120
73543,135,120
75301,136,120
77059,136,120
78817,136,120
79403,136,120
81161,136,120
82333,136,120
82919,136,120
85849,136,120
921,45,36
1535,55,45
2149,65,55
3377,66,55
3991,66,55
5219,78,66
5833,78,66
7061,78,66
8903,90,78
9517,90,78
11359,91,78
12587,91,78
13201,91,78
14429,91,78
16271,91,78
18113,104,91
18727,104,91
20569,105,91
21797,105,91
22411,105,91
24253,105,91
25481,105,91
27323,105,91
29779,105,91
31007,105,91
31621,105,91
32849,119,105
33463,119,105
34691,119,105
38989,119,105
40217,120,105
42059,120,105
42673,120,105
45743,120,105
46357,120,105
48199,120,105
50041,120,105
51269,120,105
53111,120,105
54953,120,105
55567,120,105
58637,120,105
59251,120,105
60479,120,105
61093,120,105
64777,120,105
68461,135,120
69689,135,120
70303,135,120
71531,135,120
73373,135,120
73987,135,120
77057,135,120
78899,136,120
80741,136,120
82583,136,120
83197,136,120
85039,136,120
86267,136,120
86881,136,120
89951,136,120
94249,136,120
933,45,36
1555,55,45
2177,65,55
3421,66,55
4043,66,55
5287,78,66
5909,78,66
7153,78,66
9019,90,78
9641,90,78
11507,91,78
12751,91,78
13373,91,78
14617,91,78
16483,104,91
18349,104,91
18971,104,91
20837,105,91
22081,105,91
22703,105,91
24569,105,91
25813,105,91
27679,105,91
30167,105,91
31411,105,91
32033,105,91
33277,119,105
33899,119,105
35143,119,105
39497,119,105
40741,120,105
42607,120,105
43229,120,105
46339,120,105
46961,120,105
48827,120,105
50693,120,105
51937,120,105
53803,120,105
55669,120,105
56291,120,105
59401,120,105
60023,120,105
61267,120,105
61889,120,105
65621,135,120
69353,135,120
70597,135,120
71219,135,120
72463,135,120
74329,135,120
74951,135,120
78061,135,120
79927,136,120
81793,136,120
83659,136,120
84281,136,120
86147,136,120
87391,136,120
88013,136,120
91123,136,120
95477,136,120
96721,136,120
939,45,36
1565,55,45
2191,65,55
